Contrast_0,Contrast_45,Contrast_90,Contrast_135,Correlation_0,Correlation_45,Correlation_90,Correlation_135,Energy_0,Energy_45,Energy_90,Energy_135,Homogeneity_0,Homogeneity_45,Homogeneity_90,Homogeneity_135,Label
0.66578947368421,1.03601108033241,0.489473684210526,0.858725761772853,0.881277875681415,0.820190178028286,0.913592815895068,0.852113819857993,0.104376731301939,0.0852433606249185,0.104584487534626,0.0890953875430668,0.781578947368421,0.715835641735919,0.793859649122807,0.728070175438596,1
0.344736842105263,0.590027700831025,0.471052631578947,0.659279778393352,0.906594881366697,0.834662996876469,0.869325438044032,0.815959716943044,0.109279778393352,0.0884815187114893,0.0881578947368421,0.0747768970465236,0.841666666666667,0.784856879039704,0.788377192982456,0.736842105263158,1
0.626315789473684,1.13850415512465,0.557894736842105,0.789473684210526,0.87187935238387,0.770297904926248,0.883951588482,0.839284696889674,0.0673961218836565,0.0527390059928945,0.0786842105263158,0.0611336622647156,0.748684210526316,0.66814404432133,0.78640350877193,0.720683287165282,1
0.421052631578947,0.836565096952909,0.610526315789474,0.778393351800554,0.915126650693193,0.830423070603509,0.879761841971349,0.846388275535768,0.0830470914127424,0.0632361630128682,0.0737811634349031,0.0677174054833833,0.817543859649123,0.735457063711911,0.784649122807018,0.755078485687904,1
0.263157894736842,0.61218836565097,0.555263157894737,0.695290858725762,0.919148930540769,0.802206534478654,0.822757890386961,0.778257200601829,0.171800554016621,0.121691822499827,0.125429362880886,0.119251693894307,0.878947368421053,0.767774699907664,0.775,0.767082179132041,1
0.323684210526316,0.520775623268698,0.315789473684211,0.45983379501385,0.780360741065205,0.635250459680574,0.779556638874163,0.67450493101368,0.198504155124654,0.156513531971056,0.188739612188366,0.169619631525234,0.855701754385965,0.775854108956602,0.842105263157895,0.792243767313019,1
0.318421052631579,0.512465373961219,0.360526315789474,0.484764542936288,0.921405355004482,0.876780483316142,0.911581415433833,0.87181628389554,0.117451523545706,0.113849648176426,0.124542936288089,0.101081176479616,0.844298245614035,0.780701754385965,0.819736842105263,0.783471837488458,1
0.573684210526316,0.883656509695291,0.423684210526316,0.717451523545706,0.872089628441253,0.806127947496638,0.908772858495994,0.838320033817033,0.092797783933518,0.0773704928599382,0.100775623268698,0.0863176310801789,0.783333333333333,0.722299168975069,0.809210526315789,0.75,1
0.45,0.637119113573407,0.407894736842105,0.736842105263158,0.879092453418267,0.829876198312037,0.894853375789651,0.807295813597402,0.101689750692521,0.0902924317646427,0.10713296398892,0.0803937968554569,0.803070175438596,0.765004616805171,0.824122807017544,0.72253000923361,1
0.278947368421053,0.686980609418283,0.515789473684211,0.562326869806094,0.937450123064347,0.834847293019777,0.878197625049921,0.864275115273795,0.153337950138504,0.12651069282771,0.143005540166205,0.131743924616907,0.871052631578947,0.777931671283472,0.811622807017544,0.796398891966759,1
0.778947368421053,1.78947368421053,1.31052631578947,2.00554016620499,0.971731019504388,0.935409728960935,0.955312328067707,0.932224871018788,0.0365512465373961,0.0238104373048089,0.0318836565096953,0.0239178643503349,0.756578947368421,0.630655586334257,0.727368421052632,0.631994459833795,1
0.392105263157895,1.20498614958449,1.07631578947368,1.29916897506925,0.970435099360793,0.912779610525713,0.924909907008289,0.90884783701856,0.0643628808864266,0.0441141489092318,0.0442382271468144,0.042640863713446,0.825,0.676223453370268,0.702061403508772,0.675992613111727,1
0.373684210526316,0.506925207756233,0.339473684210526,0.578947368421053,0.811837909972039,0.745436181284152,0.826097791172744,0.709685635661689,0.138337950138504,0.120187843862463,0.141828254847645,0.106360448431181,0.830701754385965,0.79455216989843,0.837280701754386,0.754847645429363,1
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0.0157894736842105,0.0138504155124654,0.00789473684210526,0.0138504155124654,-0.00795755968169761,-0.0068326140171444,0.404463561753312,-0.0068326140171444,0.968795013850415,0.972590756670069,0.97909972299169,0.972590756670069,0.992105263157895,0.993074792243767,0.996052631578947,0.993074792243767,3
0.0526315789473684,0.0526315789473684,0,0.0526315789473684,-0.0187667560321716,-0.0187667560321716,1,-0.0187667560321716,0.900277008310249,0.900277008310249,0.905,0.900277008310249,0.973684210526316,0.973684210526316,1,0.973684210526316,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0.0315789473684211,0.0304709141274238,0.00789473684210526,0.0304709141274238,0.233870967741935,0.251762609849646,0.797838305336138,0.251762609849646,0.92819944598338,0.929773405667544,0.953476454293629,0.929773405667544,0.98421052631579,0.984764542936288,0.996052631578947,0.984764542936288,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0.0526315789473684,0.0526315789473684,0,0.0526315789473684,-0.0187667560321716,-0.0187667560321716,1,-0.0187667560321716,0.900277008310249,0.900277008310249,0.905,0.900277008310249,0.973684210526316,0.973684210526316,1,0.973684210526316,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0.347368421052632,1.19667590027701,1.19210526315789,1.43213296398892,0.984198507880405,0.949213072658698,0.952052647918882,0.943462541868381,0.0762603878116344,0.0537672362857866,0.0581440443213296,0.0548415067410471,0.833333333333333,0.700831024930748,0.727456140350877,0.704709141274238,1
0.392105263157895,0.61218836565097,0.415789473684211,0.67590027700831,0.917474420609731,0.871524970512717,0.911537483654011,0.862305153508353,0.111149584487535,0.0922875054672693,0.108850415512465,0.0871003138404401,0.825,0.775161588180979,0.816666666666667,0.756694367497692,1
0.326315789473684,0.484764542936288,0.384210526315789,0.601108033240997,0.936819865227552,0.909732756035356,0.93375936423,0.890339793584266,0.0985872576177285,0.0889419203351724,0.102257617728532,0.0807314247128245,0.840350877192982,0.787165281625115,0.818421052631579,0.754847645429363,1
0.423684210526316,0.592797783933518,0.381578947368421,0.650969529085873,0.895039800540563,0.854896215670051,0.905504841711377,0.837087983519019,0.0918421052631579,0.0845987983517622,0.100983379501385,0.0747462036049447,0.809210526315789,0.77746999076639,0.830263157894737,0.744690674053555,1
0.431578947368421,1.51246537396122,1.15789473684211,1.21329639889197,0.98030690322083,0.932829161056549,0.951388805234428,0.951928060658642,0.0524653739612188,0.0375304056905641,0.0397368421052632,0.0389269572824027,0.819298245614035,0.691828254847645,0.72328947368421,0.68938134810711,1
0.255263157894737,0.407202216066482,0.347368421052632,0.448753462603878,0.916515074493419,0.862852276520781,0.892346610082204,0.859084238595636,0.142756232686981,0.121523008571144,0.125609418282548,0.115292239930633,0.872368421052631,0.825946445060018,0.843859649122807,0.812557710064635,1
0.423684210526316,0.584487534626039,0.339473684210526,0.562326869806094,0.741158109109643,0.626934593768211,0.805311250574678,0.647562451888214,0.162908587257618,0.143975261086087,0.165360110803324,0.145847561022399,0.819078947368421,0.770544783010157,0.830263157894737,0.77954755309326,1
0.476315789473684,2.18282548476454,1.84210526315789,1.95567867036011,0.97098963484109,0.874625000963766,0.89646194973235,0.886218249607829,0.0441412742382271,0.0254832298708573,0.0272714681440443,0.0260050183776981,0.782894736842105,0.57746999076639,0.601052631578947,0.61061865189289,1
0.505263157894737,0.642659279778393,0.534210526315789,0.983379501385042,0.859711256355659,0.818584421502203,0.850450109907601,0.723581826522637,0.0971052631578948,0.0841077032865003,0.0971329639889197,0.078352682990462,0.809868421052631,0.765927977839335,0.801754385964912,0.732548476454294,1
0.313157894736842,0.529085872576177,0.323684210526316,0.462603878116343,0.913842784741224,0.859178126099702,0.910444787885791,0.870244852030391,0.113642659279778,0.090798873550694,0.127146814404432,0.102661888720928,0.846929824561404,0.772391505078486,0.866228070175439,0.80932594644506,1
0.368421052631579,0.556786703601108,0.373684210526316,0.590027700831025,0.879539364665052,0.822428218560031,0.882664625414705,0.809589784077995,0.116495844875346,0.0915662095901658,0.11308864265928,0.0899241104656963,0.836842105263158,0.765927977839335,0.830701754385965,0.760387811634349,1
0.347368421052632,0.686980609418283,0.471052631578947,0.6398891966759,0.899391560930953,0.800720831945004,0.860303915446354,0.812960574801225,0.11112188365651,0.0825883779283462,0.0989473684210526,0.0843839442607101,0.836842105263158,0.745152354570637,0.799561403508772,0.749538319482918,1
0.407894736842105,0.786703601108033,0.45,0.54016620498615,0.865944225958096,0.731557224156564,0.845431622784619,0.820976907605678,0.121634349030471,0.0999915593035658,0.124307479224377,0.114049155546689,0.803070175438596,0.724145891043398,0.803070175438596,0.788319482917821,1
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0.0526315789473684,0.0526315789473684,0,0.0526315789473684,-0.0187667560321716,-0.0187667560321716,1,-0.0187667560321716,0.900277008310249,0.900277008310249,0.905,0.900277008310249,0.973684210526316,0.973684210526316,1,0.973684210526316,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0.05,0.0526315789473684,0.00263157894736842,0.0498614958448753,-0.0187667560321716,-0.0187667560321716,0.971983220645022,-0.0187667560321716,0.905,0.900277008310249,0.904750692520776,0.905249345846026,0.975,0.973684210526316,0.998684210526316,0.975069252077562,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0.278947368421053,0.534626038781163,0.35,0.418282548476454,0.889803638168939,0.787985596360503,0.85971303042869,0.827514685467705,0.155027700831025,0.126495346106921,0.150747922437673,0.138711335855311,0.860526315789474,0.78808864265928,0.842543859649123,0.820406278855032,1
0.384210526315789,0.581717451523546,0.457894736842105,0.656509695290859,0.874910845811945,0.797470506445761,0.839435170244365,0.77408315790117,0.117409972299169,0.105454991904605,0.122451523545706,0.0945741668648952,0.818421052631579,0.774930747922438,0.816008771929825,0.745614035087719,1
0.347368421052632,0.637119113573407,0.452631578947368,0.590027700831025,0.873127826141414,0.770576759187155,0.833699244493519,0.787497441344127,0.160332409972299,0.114724411261424,0.126108033240997,0.107373332003284,0.857894736842105,0.769390581717452,0.808771929824561,0.756001846722068,1
0.339473684210526,0.57617728531856,0.392105263157895,0.54016620498615,0.865604176319002,0.774467325095987,0.842989000153525,0.776830836461799,0.133628808864266,0.111087238434328,0.134016620498615,0.113650140806163,0.833771929824561,0.771006463527239,0.821491228070175,0.781625115420129,1
0.363157894736842,0.703601108033241,0.442105263157895,0.578947368421053,0.888284324195579,0.779386353820229,0.86386763035065,0.821244030833864,0.10983379501385,0.0805779575049301,0.102493074792244,0.0939142578709494,0.839473684210526,0.744228993536473,0.810526315789474,0.787396121883657,1
0.281578947368421,1.90304709141274,1.81315789473684,1.92520775623269,0.982624883562257,0.892965171196229,0.897089000316136,0.88917467813688,0.0705263157894737,0.0398477605297688,0.040595567867036,0.0394487457892435,0.85921052631579,0.628531855955679,0.644385964912281,0.642336103416436,1
0.336842105263158,0.750692520775623,0.48421052631579,0.573407202216067,0.914482658761976,0.812018319051647,0.877537268863389,0.855368603421598,0.108213296398892,0.0720298340252147,0.0898891966759003,0.0883127047828055,0.845614035087719,0.719298245614035,0.789473684210526,0.790858725761773,1
0.252631578947368,0.487534626038781,0.315789473684211,0.346260387811634,0.927546363276306,0.862329420352232,0.908614947452675,0.900008342213406,0.136689750692521,0.101741085473561,0.117313019390582,0.114386783404056,0.873684210526316,0.789473684210526,0.845614035087719,0.834256694367498,1
0.436842105263158,0.565096952908587,0.423684210526316,0.850415512465374,0.870480176121283,0.838170945847868,0.878494221490793,0.756189893370282,0.121786703601108,0.104549535378028,0.124362880886427,0.0884047851075422,0.802631578947368,0.750692520775623,0.816228070175439,0.702677746999077,1
0.376315789473684,2.10803324099723,1.88421052631579,2.06648199445983,0.986613925829393,0.930446757123682,0.938196927556224,0.932141345151266,0.0630470914127424,0.0331412435447856,0.0352493074792244,0.034706609065308,0.825877192982456,0.640331090885108,0.649298245614035,0.632594644506002,1
0.307894736842105,0.42382271468144,0.294736842105263,0.46814404432133,0.79467861843363,0.71603613749559,0.811173876057177,0.68338243505393,0.199598337950138,0.167225543082082,0.203005540166205,0.181068285234153,0.856578947368421,0.795475530932595,0.856140350877193,0.813942751615882,1
0.426315789473684,1.6398891966759,1.60789473684211,1.94459833795014,0.98414660013699,0.944586423265535,0.94860087956939,0.936982633235236,0.0608448753462604,0.0411522317968708,0.0433240997229917,0.0422265022521313,0.819956140350877,0.670406278855032,0.687236842105263,0.684441366574331,1
0.371052631578947,0.445983379501385,0.315789473684211,0.551246537396122,0.888173378657072,0.860893358113883,0.9014530595577,0.825057434916311,0.126703601108033,0.117870489023258,0.136204986149584,0.105009937001711,0.835526315789474,0.805863342566944,0.845614035087719,0.768698060941828,1
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
0,0,0,0,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,-0.0187667560321716,1,1,1,1,1,1,1,1,3
